run_id,manual,snt_id,term,term_rank_snt,score_5,score_3
NP,1,G05.1_2757079914_1,CRISPR-Cas,1,5,3
NP,1,G05.1_2757079914_1,gene editing,2,4,3
NP,1,G05.1_2757079914_2,nuclease,1,5,3
NP,1,G05.1_2757079914_2,off-target,2,5,3
NP,1,G05.1_2757079914_3,Anti-CRISPR proteins,1,5,3
NP,1,G05.1_2757079914_3,gene therapy,2,4,3
NP,1,G05.1_2757079914_4,phages,1,5,3
NP,1,G05.1_2757079914_5,Anti-CRISPR,1,5,3
NP,1,G05.1_2914002216_1,CRISPR,1,5,3
NP,1,G05.1_2914002216_2,gene editing,1,4,3
NP,1,G05.1_2914002216_3,DNA strain,1,4,3
NP,1,G05.1_2914002216_4,CRISPR/Cas9,1,5,3
NP,1,G05.1_2914002216_4,high-content screen,2,5,3
NP,1,G05.2_2796443924_1,CRISPR-Cpf1,1,5,3
NP,1,G05.2_2796443924_1,genome editing,2,4,3
NP,1,G05.2_2796443924_2,gRNA,1,5,3
NP,1,G05.2_2796443924_3,gRNA,1,5,3
NP,1,G05.2_2796443924_3,SVM,2,5,3
NP,1,G05.2_2796443924_4,CRISPR,1,5,3
NP,1,G05.2_2796443924_4,CRISPR-Cpf1,2,5,3
NP,1,G05.2_2796443924_4,gRNA,3,5,3
NP,1,G05.2_2796443924_4,Targeting,4,5,3
NP,1,G06.2_2548923997_1,vehicular ad hoc networks,1,4,2
NP,1,G06.2_2548923997_2,VANET,1,5,3
NP,1,G06.2_2548923997_3,black hole attack,1,5,3
NP,1,G06.2_2548923997_3,grey hole attack,2,5,3
NP,1,G06.2_2548923997_3,Sybil attack,3,5,3
NP,1,G06.2_2548923997_3,wormhole attack,4,5,3
NP,1,G06.2_2548923997_3,Denial of service attack,5,4,3
NP,1,G06.2_2548923997_4,Back Propagation,1,5,3
NP,1,G06.2_2548923997_4,VANET,2,5,3
NP,1,G06.2_2548923997_4,Denial of service attack,3,4,3
NP,1,G06.2_2548923997_5,BP,1,5,3
NP,1,G06.2_2548923997_5,IDS,2,5,3
NP,1,G06.2_2606555570_1,deadlocked,1,3,2
NP,1,G06.2_2906897310_1,stereo imagery,1,4,3
NP,1,G06.2_2906897310_2,stereo imagery,1,4,3
NP,1,G06.2_2906897310_3,Convolutional neural network,1,5,3
NP,1,G06.2_2906897310_3,Stixel,2,5,3
NP,1,G06.2_2906897310_3,pixel-wise segmentation,3,4,3
NP,1,G06.2_2906897310_3,stereo imagery,4,4,3
NP,1,G06.2_2906897310_4,CNN,1,5,3
NP,1,G06.2_2906897310_4,pixel-wise segmentation,2,4,3
NP,1,G06.2_2931522054_1,MATLAB,1,5,3
NP,1,G06.2_2931522054_1,Simulink,2,5,3
NP,1,G06.2_2931522054_1,benchmark,3,4,3
NP,1,G06.2_2931522054_1,Robot operating system,4,3,2
NP,1,G06.2_2931522054_1,open-source,5,2,2
NP,1,G06.2_2931522054_2,ROS,1,5,3
NP,1,G06.2_2931522054_2,middleware,2,4,3
NP,1,G06.2_2931522054_2,open-source,3,2,2
NP,1,G06.2_2931522054_3,MATLAB,1,5,3
NP,1,G06.2_2931522054_3,Simulink,2,5,3
NP,1,G06.2_2931522054_4,MATLAB,1,5,3
NP,1,G06.2_2931522054_4,ROS,2,5,3
NP,1,G06.2_2931522054_4,Simulink,3,5,3
NP,1,G06.2_2931522054_5,MATLAB,1,5,3
NP,1,G06.2_2931522054_5,ROS,2,5,3
NP,1,G06.2_2931522054_5,Simulink,3,5,3
NP,1,G06.2_2931522054_5,benchmark,4,4,3
NP,1,G06.2_2931522054_6,MATLAB,1,5,3
NP,1,G06.2_2931522054_6,Simulink,2,5,3
NP,1,G06.2_2931522054_6,benchmark,3,4,3
NP,1,G06.2_2931522054_7,MATLAB,1,5,3
NP,1,G06.2_2931522054_7,ROS,2,5,3
NP,1,G06.2_2931522054_7,Simulink,3,5,3
NP,1,G06.2_2935172463_1,MATLAB,1,5,3
NP,1,G06.2_2935172463_1,ROS,2,5,3
NP,1,G06.2_2935172463_1,Simulink,3,5,3
NP,1,G06.2_2935172463_2,ROS,1,5,3
NP,1,G06.2_2935172463_3,C++,1,5,3
NP,1,G06.2_2935172463_3,ROS,2,5,3
NP,1,G06.2_2935172463_4,MATLAB,1,5,3
NP,1,G06.2_2935172463_4,ROS,2,5,3
NP,1,G06.2_2935172463_4,Simulink,3,5,3
NP,1,G06.2_2954032282_1,lane keeping,1,2,1
NP,1,G06.2_2958092349_1,L3 driverless vehicles,1,4,2
NP,1,G06.2_2968176166_1,Bayesian optimization,1,5,3
NP,1,G06.2_2968176166_2,training set,1,3,2
NP,1,G06.2_2982382045_1,Mixed Logit,1,5,3
NP,1,G06.2_2982382045_1,discrete choice,2,4,3
NP,1,G06.2_2982382045_2,commuting,1,4,3
NP,1,G07.1_2100028027_1,disinformation,1,1,1
NP,1,G07.1_2100028027_1,misinformation,2,1,1
NP,1,G07.1_2100028027_2,disinformation,1,1,1
NP,1,G07.1_2100028027_2,misinformation,2,1,1
NP,1,G07.1_2100028027_3,empirical research,1,4,3
NP,1,G07.1_2100028027_3,disinformation,2,1,1
NP,1,G07.1_2100028027_3,misinformation,3,1,1
NP,1,G07.1_2100028027_4,disinformation,1,1,1
NP,1,G07.1_2100028027_4,misinformation,2,1,1
NP,1,G07.1_2100028027_5,disinformation,1,1,1
NP,1,G07.1_2100028027_5,misinformation,2,1,1
NP,1,G07.1_2100028027_6,disinformation,1,1,1
NP,1,G07.1_2100028027_6,misinformation,2,1,1
NP,1,G07.1_2111507945_1,misinformation,1,1,1
NP,1,G07.1_2111507945_2,misinformation,1,1,1
NP,1,G07.1_2111507945_3,collective intelligence,1,3,2
NP,1,G07.1_2111507945_3,misinformation,2,1,1
NP,1,G07.1_2111507945_4,microblog,1,3,2
NP,1,G07.1_2111507945_4,misinformation,2,1,1
NP,1,G07.1_2111507945_5,misinformation,1,1,1
NP,1,G07.1_2111507945_6,misinformation,1,1,1
NP,1,G07.1_2111507945_7,microblog,1,3,2
NP,1,G07.1_2111507945_8,microblog,1,3,2
NP,1,G07.1_2111507945_8,misinformation,2,1,1
NP,1,G07.1_2124690797_1,misinformation,1,1,1
NP,1,G07.1_2124690797_2,misinformation,1,1,1
NP,1,G07.1_2124690797_3,interoperability,1,5,3
NP,1,G07.1_2124690797_3,misinformation,2,1,1
NP,1,G07.1_2124690797_4,misinformation,1,1,1
NP,1,G07.1_2124690797_5,ontology,1,5,3
NP,1,G07.1_2124690797_5,misinformation,2,1,1
NP,1,G07.1_2124690797_6,misinformation,1,1,1
NP,1,G07.1_2239526842_1,OSN,1,5,3
NP,1,G07.1_2239526842_2,OSN,1,5,3
NP,1,G07.1_2950010073_1,misinformation,1,1,1
NP,1,G07.1_2950010073_2,misinformation,1,1,1
NP,1,G07.1_2950010073_3,cascade,1,5,3
NP,1,G07.1_2950010073_3,misinformation,2,1,1
NP,1,G07.1_2950010073_4,cascade,1,5,3
NP,1,G07.1_2950010073_5,polynomial time,1,5,3
NP,1,G07.1_2950010073_5,misinformation,2,1,1
NP,1,G07.1_2950010073_6,cascade,1,5,3
NP,1,G07.1_2950010073_7,misinformation,1,1,1
NP,1,G07.2_2749521565_1,evidential problems,1,2,1
NP,1,G07.2_2749521565_2,prima facie,1,5,3
NP,1,G07.2_2773680786_1,mixed-methods,1,1,1
NP,1,G07.2_2899514909_1,r/,1,5,3
NP,1,G07.2_2899514909_2,narrative-motif,1,3,2
NP,1,G07.2_2899514909_3,narrative-motif,1,3,2
NP,1,G08.1_2806518684_1,blockchain,1,4,3
NP,1,G08.1_2806518684_1,cryptocurrency,2,3,2
NP,1,G08.1_2806518684_1,bitcoin,3,2,2
NP,1,G08.1_2806518684_2,blockchain,1,4,3
NP,1,G08.1_2806518684_3,blockchain,1,4,3
NP,1,G08.1_2806518684_4,blockchain,1,4,3
NP,1,G08.1_2806518684_4,cryptocurrency,2,3,2
NP,1,G08.1_2806518684_5,theory of planned behavior,1,4,3
NP,1,G08.1_2806518684_5,cryptocurrency,2,3,2
NP,1,G08.1_2806518684_6,empirical evidence,1,4,3
NP,1,G08.1_2806518684_6,cryptocurrency,2,3,2
NP,1,G08.1_2806518684_6,e-government,3,2,2
NP,1,G08.1_2907181942_1,cryptocurrency,1,3,2
NP,1,G08.1_2907181942_2,monetary authorities,1,2,1
NP,1,G08.1_2907181942_3,cryptocurrency,1,3,2
NP,1,G08.1_2907181942_4,cryptocurrency,1,3,2
NP,1,G08.1_2972302621_1,cryptocurrency,1,3,2
NP,1,G08.1_2972302621_2,cryptocurrency,1,3,2
NP,1,G08.1_2972302621_3,cryptocurrency,1,3,2
NP,1,G08.1_2972302621_3,foreign exchange,2,1,1
NP,1,G08.1_2972302621_3,stock,3,1,1
NP,1,G08.1_2972302621_4,cryptocurrency,1,3,2
NP,1,G08.1_2972302621_4,stock,2,1,1
NP,1,G08.1_2972302621_5,cryptocurrency,1,3,2
NP,1,G08.1_2972302621_5,stock market,2,1,1
NP,1,G08.1_3004077497_1,blockchain,1,4,3
NP,1,G08.1_3004077497_1,cryptocurrency,2,3,2
NP,1,G08.1_3004077497_2,cryptocurrency,1,3,2
NP,1,G08.1_3004077497_3,penetration,1,4,3
NP,1,G08.1_3004077497_4,cryptocurrency,1,3,2
NP,1,G08.1_3004077497_5,cryptocurrency,1,3,2
NP,1,G08.1_3004077497_5,centralized bank,2,1,1
NP,1,G08.1_3004077497_6,know your customer,1,4,3
NP,1,G08.1_3004077497_6,money laundering,2,1,1
NP,1,G08.2_1607424157_1,contagion effect,1,4,3
NP,1,G08.2_1607424157_1,herding behaviour,2,4,3
NP,1,G08.2_1607424157_2,News Cohesiveness Index,1,5,3
NP,1,G08.2_1607424157_2,systemic risk,2,4,3
NP,1,G08.2_1607424157_3,NCI,1,5,3
NP,1,G08.2_1607424157_4,systemic risk,1,4,3
NP,1,G08.2_1607424157_5,volatility,1,4,3
NP,1,G08.2_2807531787_1,entropy,1,5,3
NP,1,G08.2_2807531787_1,comovement,2,4,3
NP,1,G08.2_2807531787_2,entropy,1,5,3
NP,1,G08.2_2807531787_2,stock market indices,2,4,3
NP,1,G08.2_2807531787_3,entropy,1,5,3
NP,1,G08.2_2807531787_4,dynamic factor model,1,5,3
NP,1,G08.2_2807531787_4,entropy,2,5,3
NP,1,G09.1_1965213295_1,off the grid,1,3,2
NP,1,G09.1_1965213295_2,tech-savvy,1,3,2
NP,1,G09.1_2047319275_1,phishers,1,5,3
NP,1,G09.1_2047319275_1,source code,2,2,1
NP,1,G09.1_2047319275_2,source code,1,2,1
NP,1,G09.1_2047319275_3,phishing,1,5,3
NP,1,G09.1_2202800066_1,forensic,1,1,1
NP,1,G09.1_2921035272_1,Internet of Things,1,4,3
NP,1,G09.1_2921035272_2,encryption,1,1,1
NP,1,G09.1_2921035272_3,IoT,1,5,3
NP,1,G09.1_2921035272_4,electromagnetic (EM) side-channel analysis,1,5,3
NP,1,G09.1_2921035272_4,IoT,2,5,3
NP,1,G09.1_2921035272_5,eavesdropping,1,1,1
NP,1,G09.1_2921035272_6,EM side-channel,1,5,3
NP,1,G09.1_2921035272_7,EM side-channel analysis attack,1,5,3
NP,1,G09.1_2921035272_7,IoT,2,5,3
NP,1,G09.1_2921035272_8,IoT,1,5,3
NP,1,G10.1_1593729956_1,humanoid,1,1,1
NP,1,G10.1_1593729956_1,kinematic,2,1,1
NP,1,G10.1_1593729956_2,humanoid,1,1,1
NP,1,G10.1_2093013061_1,odometry,1,5,3
NP,1,G10.1_2093013061_1,consumer-grade,2,3,2
NP,1,G10.1_2093013061_2,Nao,1,5,3
NP,1,G10.1_2773777794_1,reinforcement learning,1,4,3
NP,1,G10.1_2906808597_1,service robot,1,1,1
NP,1,G10.1_2906808597_2,Monte Carlo simulations,1,5,3
NP,1,G10.1_2906808597_3,greedy approach,1,4,3
NP,1,G10.1_2968701259_1,CPU,1,3,2
NP,1,G11.1_2794850674_1,rotorcraft,1,4,3
NP,1,G11.1_2794850674_2,high throughput systems,1,5,3
NP,1,G11.1_2794850674_2,micro-arrays,2,4,3
NP,1,G11.1_2794850674_3,HTS,1,5,3
NP,1,G11.1_2794850674_4,6 degree-of-freedom,1,2,2
NP,1,G11.1_2795365350_1,gait,1,4,3
NP,1,G11.1_2795365350_1,humanoid,2,1,1
NP,1,G11.1_2795365350_2,humanoid,1,1,1
NP,1,G11.1_2795365350_3,humanoid,1,1,1
NP,1,G13.1_2570453702_1,SME,1,3,2
NP,1,G13.1_2570453702_2,ICT,1,5,3
NP,1,G13.1_2570453702_3,e-marketing,1,1,1
NP,1,G13.1_2570453702_4,e-marketing,1,1,1
NP,1,G13.1_2570453702_5,ICT,1,5,3
NP,1,G13.1_2570453702_6,ICT,1,5,3
NP,1,G13.1_2570453702_6,SME,2,3,2
NP,1,G13.1_3004169763_1,Omni-channel,1,5,3
NP,1,G13.1_3004169763_1,Key Opinion Leaders,2,4,3
NP,1,G13.1_3004169763_2,AHP,1,5,3
NP,1,G13.1_3004169763_2,fuzzy,2,4,3
NP,1,M1_1_1,homeostasis,1,5,3
NP,1,M1_10_1,MPS,1,5,3
NP,1,M1_11_1,VO2peak,1,3,2
NP,1,M1_13_1,1RM,1,4,3
NP,1,M1_14_1,PPO,1,5,3
NP,1,M1_14_1,VO2peak,2,3,2
NP,1,M1_15_1,PPO,1,5,3
NP,1,M1_17_1,biopsy,1,3,2
NP,1,M1_2_1,glycogen stores,1,3,2
NP,1,M1_2_1,protein synthesis,2,2,2
NP,1,M1_2_1,skeletal muscle,3,1,1
NP,1,M1_22_1,mRNA,1,5,3
NP,1,M1_22_1,two-way ANOVA,2,5,3
NP,1,M1_22_1,cell signaling,3,3,3
NP,1,M1_22_1,protein synthesis,4,2,2
NP,1,M1_23_1,mTOR ,1,5,3
NP,1,M1_23_1,cell signaling,2,3,3
NP,1,M1_23_1,protein synthesis,3,2,2
NP,1,M1_24_1,MPS,1,5,3
NP,1,M1_25_1,MPS,1,5,3
NP,1,M1_25_1,anabolic response ,2,4,3
NP,1,M1_26_1,mTOR ,1,5,3
NP,1,M1_26_1,signal transduction,2,5,3
NP,1,M1_27_1,MPS,1,5,3
NP,1,M1_3_1,mTOR ,1,5,3
NP,1,M1_3_1,leucine,2,4,3
NP,1,M1_3_1,signaling responses,3,4,3
NP,1,M1_31_1,protein synthesis,1,2,2
NP,1,M1_31_1,skeletal muscle,2,1,1
NP,1,M1_4_1,anabolic response ,1,4,3
NP,1,M1_4_1,skeletal muscle,2,1,1
NP,1,M1_9_1,Myofibrillar,1,5,3
NP,1,M1_9_1,anabolic,2,4,3
NP,1,M1_9_1,cell signaling,3,3,3
NP,1,M1_9_1,Protein synthesis,4,2,2
NP,1,M10_42_1,hypertrophy,1,5,3
NP,1,M10_42_2,detraining,1,2,1
NP,1,M11_43_1,hypertrophy,1,5,3
NP,1,M11_43_1,mm hg,2,5,3
NP,1,M11_43_1,occlusion training,3,4,3
NP,1,M11_43_2,hypertrophy,1,5,3
NP,1,M11_43_2,occlusion,2,4,3
NP,1,M11_43_2,1 repetition maximum,3,3,2
NP,1,M11_43_3,growth hormone,1,4,3
NP,1,M11_43_4,occlusion,1,4,3
NP,1,M12_44_1,aerobic training,1,3,2
NP,1,M12_44_1,skeletal muscle,2,1,1
NP,1,M12_44_2,hypertrophy,1,5,3
NP,1,M12_44_2,protein metabolism,2,4,3
NP,1,M12_44_2,aerobic training,3,3,2
NP,1,M12_44_3,status quo,1,3,2
NP,1,M12_44_3,skeletal muscle,2,1,1
NP,1,M13_45_1,contractures,1,4,3
NP,1,M13_45_1,range of motion,2,1,1
NP,1,M13_45_2,hypertrophy,1,5,3
NP,1,M13_45_3,hypertrophy,1,5,3
NP,1,M14_46_1,aerobic,1,3,2
NP,1,M14_46_2,hypertrophy,1,5,3
NP,1,M14_46_3,hypertrophy,1,5,3
NP,1,M14_46_4,intermittent,1,2,1
NP,1,M14_46_5,hypertrophy,1,5,3
NP,1,M14_46_5,muscle protein balance,2,5,3
NP,1,M15_47_1,training volume,1,3,2
NP,1,M15_47_1,U-shaped,2,3,2
NP,1,M15_47_2,hypertrophy,1,5,3
NP,1,M15_47_2,training volume,2,3,2
NP,1,M15_47_2,dose-response relationship,3,2,1
NP,1,M15_47_3,U-shaped,1,3,2
NP,1,M15_47_4,hypertrophy,1,5,3
NP,1,M15_47_4,training volume,2,3,2
NP,1,M16_48_1,hypertrophy,1,5,3
NP,1,M16_48_2,hypertrophy,1,5,3
NP,1,M16_48_3,hypertrophy,1,5,3
NP,1,M17_49_1,hypertrophy,1,5,3
NP,1,M17_49_1,skeletal muscle,2,1,1
NP,1,M17_49_2,myonuclei,1,5,3
NP,1,M17_49_3,hypertrophic,1,5,3
NP,1,M17_49_3,myonuclei,2,5,3
NP,1,M17_49_3,satellite cells,3,5,3
NP,1,M17_49_4,apoptotic,1,5,3
NP,1,M17_49_4,myonuclei,2,5,3
NP,1,M17_49_4,atrophy,3,4,3
NP,1,M17_49_5,myonuclei,1,5,3
NP,1,M17_49_6,myonuclei,1,5,3
NP,1,M18_50_1,adiposity,1,4,3
NP,1,M18_50_2,lean mass,1,4,3
NP,1,M18_50_2,meta-analysis,2,3,2
NP,1,M19_51_1,resting metabolic rate,1,5,3
NP,1,M19_51_2,resting metabolic rate,1,5,3
NP,1,M19_51_2,lean weight,2,4,3
NP,1,M19_51_3,HbA1c,1,5,3
NP,1,M19_51_4,high-density lipoprotein cholesterol,1,5,3
NP,1,M19_51_4,low-density lipoprotein cholesterol,2,5,3
NP,1,M19_51_4,triglycerides,3,5,3
NP,1,M19_51_5,bone mineral density,1,4,3
NP,1,M19_51_6,fibromyalgia,1,5,3
NP,1,M19_51_6,arthritis,2,3,2
NP,1,M2_34_1,plyometrics,1,4,3
NP,1,M2_34_2,progressive overload,1,4,3
NP,1,M20_52_1,skeletal muscle,1,1,1
NP,1,M20_52_2,musculoskeletal impairments,1,3,2
NP,1,M20_52_3,skeletal muscle,1,1,1
NP,1,M20_52_4,skeletal muscle,1,1,1
NP,1,M20_52_5,gait,1,4,3
NP,1,M21_53_1,hypertrophic,1,5,3
NP,1,M21_53_1,training volume,2,3,2
NP,1,M21_53_2,concentric,1,5,3
NP,1,M21_53_2,eccentric,2,5,3
NP,1,M21_53_2,isometric,3,5,3
NP,1,M21_53_3,hypertrophic,1,5,3
NP,1,M21_53_3,RT,2,5,3
NP,1,M21_53_3,meta-analysis,3,3,2
NP,1,M21_53_4,hypertrophic,1,5,3
NP,1,M21_53_5,hypertrophy,1,5,3
NP,1,M22_54_1,hemodynamic,1,4,3
NP,1,M22_54_1,aerobic,2,3,2
NP,1,M22_54_2,hypotension,1,4,3
NP,1,M22_54_2,aerobic,2,3,2
NP,1,M22_54_2,syncope,3,3,2
NP,1,M23_55_1,arthritis,1,3,2
NP,1,M23_55_2,cachexia,1,5,3
NP,1,M23_55_3,dialysis,1,4,3
NP,1,M24_56_1,Blood flow restriction,1,3,2
NP,1,M24_56_2,BFR,1,5,3
NP,1,M24_56_3,randomized clinical trials,1,4,3
NP,1,M24_56_4,BFR,1,5,3
NP,1,M24_56_5,BFR,1,5,3
NP,1,M25_57_1,hypertension,1,3,2
NP,1,M25_57_2,hypertension,1,3,2
NP,1,M25_57_3,hypertension,1,3,2
NP,1,M25_57_4,maximum oxygen intake,1,4,3
NP,1,M25_57_4,aerobic,2,3,2
NP,1,M25_57_4,hypertension,3,3,2
NP,1,M25_57_5,hypertension,1,3,2
NP,1,M26_38_1,concentric,1,5,3
NP,1,M26_38_1,eccentric,2,5,3
NP,1,M26_38_1,multi-joint,3,2,1
NP,1,M26_38_1,bilateral,4,1,1
NP,1,M26_38_2,RM,1,5,3
NP,1,M26_38_2,training volume,2,3,2
NP,1,M26_38_3,dropsets,1,4,3
NP,1,M26_38_3,rest-pause,2,4,3
NP,1,M26_38_3,supersets,3,4,3
NP,1,M26_38_3,training volume,4,3,2
NP,1,M26_38_4,hypertrophy,1,5,3
NP,1,M3_35_1,IFast,1,5,3
NP,1,M3_35_2,IFast,1,5,3
NP,1,M4_36_1,exercise volume,1,3,2
NP,1,M4_36_2,exercise volume,1,3,2
NP,1,M5_37_1,carbohydrate,1,2,1
NP,1,M5_37_2,supercompensated,1,4,3
NP,1,M5_37_3,anabolic,1,4,3
NP,1,M5_37_4,anabolism,1,4,3
NP,1,M7_39_1,hypertrophic,1,5,3
NP,1,M7_39_2,hypertrophic,1,5,3
NP,1,M7_39_2,meta-analysis,2,3,2
NP,1,M7_39_3,volume,1,3,2
NP,1,M7_39_4,meta-regression,1,5,3
NP,1,M7_39_4,volume,2,3,2
NP,1,M7_39_5,hypertrophy,1,5,3
NP,1,M7_39_5,volume,2,3,2
NP,1,M7_39_6,training volume,1,3,2
NP,1,M8_40_1,hypertrophic,1,5,3
NP,1,M8_40_1,negatives,2,5,3
NP,1,M8_40_1,dropsets,3,4,3
NP,1,M8_40_1,supersets,4,4,3
NP,1,M8_40_1,forced repetitions,5,3,2
NP,1,M8_40_2,hypertrophy,1,5,3
NP,1,M9_41_1,lean body mass,1,4,3
NP,1,M9_41_2,metabolic stress,1,5,3
NP,1,M9_41_3,hypertrophic,1,5,3
NP,1,M9_41_4,metabolic stress,1,5,3
NP,1,M9_41_4,mechanical tension,2,4,3
NP,1,M9_41_5,hypertrophy,1,5,3
